Product,Size,Lead Time Sales,Safety Stock,Stock On Hand,Order Quantity
ALF Jnr Blouse,12,4.625143450024767,2.2109750295689885,32,0
ALF Jnr Blouse,14,4.830771070693353,4.1702790895110695,26,0
ALF Jnr Blouse,16,0.8184401880410681,2.786670077824137,17,0
ALF Jnr Blouse,18,1.4228421294923694,1.8504540218801415,14,0
ALF Jnr Blouse,20,0.0,2.3695217031010607,7,0
ALF Jnr Blouse,22,0.0,0.348236813323353,10,0
ALF Jnr Blouse,24,0.0,0.6285757157645707,15,0
ALF Jnr Blouse,26,0.14845288076259794,0.5639376373253883,7,0
ALF Jnr Blouse,28,0.07514749264771466,0.38615167866258004,7,0
ALF Jnr Blouse,30,0.24570778380578387,0.3230684128788442,0,1
ALF Jnr Blouse,6,2.2802616873749266,1.290685757226189,3,1
ALF Jnr Blouse,8,3.1658134091129617,3.1887544367225935,37,0
ALF Jnr Shirt,10,0.10963776127731725,1.6953081845667062,18,0
ALF Jnr Shirt,12,0.6872885272127345,1.6511994889167418,24,0
ALF Jnr Shirt,14,3.161075706431874,4.797884010258506,20,0
ALF Jnr Shirt,2XL,0.0,0.6308504372311169,15,0
ALF Jnr Shirt,3XL,0.0,0.39899008193439195,19,0
ALF Jnr Shirt,4XL,0.2509640966078359,1.1471190085248244,1,0
ALF Jnr Shirt,5XL,0.0,1.0608014091791684,6,0
ALF Jnr Shirt,6XL,0.0,0.34174471142291213,7,0
ALF Jnr Shirt,7XL,0.3502451179390857,0.2899828805685013,0,1
ALF Jnr Shirt,L,0.866911659023918,3.270984768433489,45,0
ALF Jnr Shirt,M,0.8357081125765506,4.07525697553143,49,0
ALF Jnr Shirt,S,2.4708856594570827,3.1826423105918775,28,0
ALF Jnr Shirt,XL,0.0,1.9027246635076733,54,0
ALF Long Skirt,10,5.969068215312282,5.723706957468915,16,0
ALF Long Skirt,12,5.507462062471585,3.535396997791358,23,0
ALF Long Skirt,14,3.9868401252842096,4.432825321259244,15,0
ALF Long Skirt,16,5.009939344409172,3.8672735459613206,14,0
ALF Long Skirt,18,2.9339416754755647,4.048431848704259,9,0
ALF Long Skirt,20,1.908868784858725,1.5619045224784012,8,0
ALF Long Skirt,22,0.6914129022863921,1.1085653272141722,8,0
ALF Long Skirt,24,0.13454599999824163,0.947047764829804,5,0
ALF Long Skirt,26,0.04484205428863885,1.0611649473483098,2,0
ALF Long Skirt,28,0.36973190581888704,0.7135302572534308,2,0
ALF Long Skirt,4,2.1658267343234674,1.299034176207892,17,0
ALF Long Skirt,6,1.9962559771571864,3.394140496185878,25,0
ALF Long Skirt,8,4.719793035319462,4.182240450813606,23,0
ALF Navy Skirt,10,0.0,1.8953456984763304,12,0
ALF Navy Skirt,12,0.0,0.376351834619522,21,0
ALF Navy Skirt,14,0.0,0.65514698002014,17,0
ALF Navy Skirt,16,0.0,0.5602849815871265,10,0
ALF Navy Skirt,18,0.0,0.9411416117485987,19,0
ALF Navy Skirt,20,0.0,0.2775484997034884,8,0
ALF Navy Skirt,22,0.0,0.4021445986454863,6,0
ALF Navy Skirt,24,0.17197641542781994,0.6439959581035439,5,0
ALF Navy Skirt,26,0.0,0.3856246151855637,12,0
ALF Navy Skirt,4,0.0,0.5262056779579467,8,0
ALF Navy Skirt,6,0.0,1.8375586123806267,19,0
ALF Navy Skirt,8,0.0,1.443674166706901,10,0
ALF Snr Blouse,10,1.6301908827964928,2.355754144932921,11,0
ALF Snr Blouse,12,2.6823409108257854,2.5013690954229975,16,0
ALF Snr Blouse,14,0.1878835063926978,2.443615539955031,14,0
ALF Snr Blouse,16,1.4702745532031032,1.8166543521586025,19,0
ALF Snr Blouse,18,0.9695295238007533,2.260014199702323,5,0
ALF Snr Blouse,20,1.2501993145351968,1.3628256835566905,6,0
ALF Snr Blouse,22,0.6612021467408695,1.9580553821555629,3,0
ALF Snr Blouse,24,0.40981334546848724,1.112466001349201,4,0
ALF Snr Blouse,26,0.44774147395936503,0.6414052048835122,3,0
ALF Snr Blouse,28,0.4260781697851703,0.337755471507433,2,0
ALF Snr Blouse,6,1.2523469866579888,2.4350581877734525,4,0
ALF Snr Blouse,8,0.9337286294131776,1.5324661653732488,14,0
Mags Uniform Jnr Blouse L/S White (MG030),10,2.1250555454684394,1.3904517496918352,16,0
Mags Uniform Jnr Blouse L/S White (MG030),12,2.4409074123955934,1.1223653630570123,25,0
Mags Uniform Jnr Blouse L/S White (MG030),14,0.9673941958764586,0.7371125598818142,16,0
Mags Uniform Jnr Blouse L/S White (MG030),16,0.5859859126408761,0.41419348979541554,4,0
Mags Uniform Jnr Blouse L/S White (MG030),18,0.3442349254031698,0.5269488143740881,4,0
Mags Uniform Jnr Blouse L/S White (MG030),20,0.0091734191906583,0.3013309545454321,7,0
Mags Uniform Jnr Blouse L/S White (MG030),6,0.7823419852625518,0.30491579040779865,6,0
Mags Uniform Jnr Blouse L/S White (MG030),8,1.6103770111013522,1.7133492753999404,19,0
Mags Uniform Jnr Blouse SS White/Navy (MG014),10,33.07687942203914,27.9277050704548,73,0
Mags Uniform Jnr Blouse SS White/Navy (MG014),12,24.745869254394417,22.07596320505282,97,0
Mags Uniform Jnr Blouse SS White/Navy (MG014),14,16.07679499395072,13.944447200680406,48,0
Mags Uniform Jnr Blouse SS White/Navy (MG014),16,7.564058328097629,5.864324941391399,27,0
Mags Uniform Jnr Blouse SS White/Navy (MG014),18,4.077799846267963,3.4443198655595726,26,0
